date,price,open,high,low,vol,change_pct
2024-12-08,10.85,9.91,10.18,9.83,0.00188,0.0
2024-12-09,10.85,9.83,10.15,9.83,0.00062,0.0
2024-12-10,10.85,9.84,10.12,9.82,0.00175,0.0
2024-12-11,10.85,9.83,10.0,9.83,0.0013000000000000002,0.0
2024-12-12,10.85,9.83,10.0,9.83,0.0008100000000000001,0.0
2024-12-15,10.85,9.83,10.0,9.12,0.00762,0.0
2024-12-16,10.85,9.6,9.97,9.46,0.00024,0.0
2024-12-17,10.85,9.46,9.8,9.1,0.0037300000000000002,0.0
2024-12-18,10.85,9.1,9.6,9.1,0.00314,0.0
2024-12-19,10.85,9.44,9.44,9.13,0.00019,0.0
2024-12-22,10.85,9.44,9.7,9.44,0.00199,0.0
2024-12-23,10.85,9.44,9.69,9.22,0.0011899999999999999,0.0
2024-12-24,10.85,9.23,9.23,9.22,0.00019,0.0
2024-12-25,10.85,9.24,9.5,9.24,0.00066,0.0
2024-12-26,10.85,9.25,9.6,9.25,0.00184,0.0
2024-12-29,10.85,9.25,9.57,9.01,0.00197,0.0
2024-12-30,10.85,9.05,9.55,9.03,0.00035999999999999997,0.0
2024-12-31,10.85,9.5,10.85,9.01,0.0027,0.0
2025-01-02,10.85,9.04,9.55,9.04,0.0013700000000000001,0.0
2025-01-05,10.85,9.47,9.49,9.08,0.00248,0.0
2025-01-06,10.85,9.11,9.55,9.11,0.00311,0.0
2025-01-08,10.85,9.15,9.5,9.09,0.00318,0.0
2025-01-09,10.85,9.09,9.6,9.01,0.01463,0.0
2025-01-12,10.85,9.1,9.75,9.1,0.0025299999999999997,0.0
2025-01-13,10.85,10.75,10.75,9.13,0.00269,0.0
2025-01-14,10.85,9.3,9.3,9.24,0.00268,0.0
2025-01-15,10.85,9.16,9.8,9.16,0.00014000000000000001,0.0
2025-01-16,10.85,9.26,10.39,9.26,0.0030499999999999998,0.0
2025-01-19,10.85,9.5,10.69,9.5,0.01124,0.0
2025-01-20,10.85,9.53,10.49,9.53,0.00092,0.0
2025-01-21,10.85,9.57,10.4,9.57,0.00134,0.0
2025-01-22,10.85,10.33,10.33,9.62,0.00151,0.0
2025-01-23,10.85,9.62,10.32,9.62,0.00085,0.0
2025-01-26,10.85,9.7,10.28,9.7,0.0010500000000000002,0.0
2025-01-27,10.85,9.75,10.28,9.75,0.00165,0.0
2025-01-28,10.85,9.75,10.16,9.75,0.0010400000000000001,0.0
2025-01-29,10.85,9.76,9.77,9.75,0.0006,0.0
2025-01-30,10.85,9.77,9.99,9.77,0.00024,0.0
2025-02-02,10.85,9.77,10.0,9.73,0.00045000000000000004,0.0
2025-02-03,10.85,9.73,9.98,9.3,0.0018000000000000002,0.0
2025-02-04,10.85,9.31,10.45,9.3,0.0157,0.0
2025-02-05,10.85,9.33,10.35,9.32,0.00066,0.0
2025-02-06,10.85,9.32,10.0,9.32,0.00027,0.0
2025-02-09,10.85,9.33,10.07,9.33,0.00107,0.0
2025-02-10,10.85,9.41,10.05,9.36,0.0054800000000000005,0.0
2025-02-11,10.85,9.38,9.8,9.33,0.00025,0.0
2025-02-12,10.85,9.8,9.95,9.33,0.00103,0.0
2025-02-13,10.85,9.33,10.48,9.33,0.00392,0.0
2025-02-16,10.85,9.36,10.24,9.34,0.00125,0.0
2025-02-17,10.85,9.43,10.27,9.43,0.0016200000000000001,0.0
2025-02-18,10.85,9.44,10.0,9.4,0.0005,0.0
2025-02-19,10.85,9.47,10.0,9.4,0.00285,0.0
2025-02-20,10.85,9.41,10.05,9.4,0.0017800000000000001,0.0
2025-02-23,10.85,9.37,9.96,9.3,0.0027400000000000002,0.0
2025-02-24,10.85,9.3,9.95,9.3,0.00057,0.0
2025-02-25,10.85,9.39,10.23,9.36,0.00336,0.0
2025-02-26,10.85,9.36,9.5,9.33,0.00015,0.0
2025-02-27,10.85,9.4,9.95,9.4,6e-05,0.0
2025-03-02,10.85,9.95,10.13,9.35,0.0002,0.0
2025-03-03,10.85,9.35,10.19,9.35,0.00204,0.0
2025-03-04,10.85,9.41,10.0,9.38,0.00248,0.0
2025-03-05,10.85,9.36,9.37,9.36,4e-05,0.0
2025-03-06,10.85,9.39,10.1,9.36,0.0027400000000000002,0.0
2025-03-09,10.85,9.38,9.41,9.38,8e-05,0.0
2025-03-10,10.85,9.41,9.99,9.4,0.00157,0.0
2025-03-11,10.85,9.97,9.97,9.4,0.00012,0.0
2025-03-12,10.85,9.4,10.0,9.38,0.0034500000000000004,0.0
2025-03-13,10.85,9.38,10.0,9.3,0.0008,0.0
2025-03-16,10.85,9.38,9.95,9.07,0.00371,0.0
